value,value_label,frequency,percentage,weighted_percentage
1,Never attended school or only kindergarten,727,0.15,0.31
2,Grades 1 through 8 (Elementary),12148,2.50,4.68
3,Grades 9 through 11 (Some high school),25033,5.15,8.91
4,Grade 12 or GED (High school graduate),136626,28.10,28.04
5,College 1 year to 3 years (Some college or technical school),133368,27.43,30.93
6,College 4 years or more (College graduate),176627,36.32,26.68
9,Refused,1768,0.36,0.45
-1,Not asked or Missing,6,,
